Date	Ping ms	Up MBit	Down MBit
Fri 7 Oct 18:33:47 CEST 2016 	27.388	54.48	6.87
Fri 7 Oct 18:49:22 CEST 2016 	30.299	53.63	6.97
Fri 7 Oct 19:04:58 CEST 2016 	27.75	54.20	7.10
Fri 7 Oct 19:20:33 CEST 2016 	30.258	54.06	6.88
Fri 7 Oct 19:36:08 CEST 2016 	30.499	54.14	7.12
Fri 7 Oct 19:51:43 CEST 2016 	31.021	53.11	7.00
Fri 7 Oct 20:07:19 CEST 2016 	28.51	54.64	7.10
Fri 7 Oct 20:22:54 CEST 2016 	28.488	54.17	7.02
Fri 7 Oct 20:38:29 CEST 2016 	32.905	53.29	6.18
Fri 7 Oct 20:54:06 CEST 2016 	26.736	51.71	6.99
Fri 7 Oct 21:09:42 CEST 2016 	30.257	54.27	7.15
Fri 7 Oct 21:25:18 CEST 2016 	32.895	53.79	7.14
Fri 7 Oct 21:40:53 CEST 2016 	30.163	53.46	7.02
Fri 7 Oct 21:56:28 CEST 2016 	28.155	52.74	7.10
Fri 7 Oct 22:12:04 CEST 2016 	30.632	53.78	5.90
Fri 7 Oct 22:27:40 CEST 2016 	30.935	53.78	7.10
Fri 7 Oct 22:43:16 CEST 2016 	29.945	51.28	7.15
Fri 7 Oct 22:58:53 CEST 2016 	32.933	53.96	6.99
Fri 7 Oct 23:14:28 CEST 2016 	32.092	50.50	5.50
Fri 7 Oct 23:30:05 CEST 2016 	31.563	54.37	7.16
Fri 7 Oct 23:45:42 CEST 2016 	31.444	54.40	7.08
Sat 8 Oct 00:01:17 CEST 2016 	31.1	53.99	6.96
Sat 8 Oct 00:16:52 CEST 2016 	29.868	54.03	7.06
Sat 8 Oct 00:32:28 CEST 2016 	29.078	54.41	7.03
Sat 8 Oct 00:48:03 CEST 2016 	33.545	52.43	7.12
Sat 8 Oct 01:03:40 CEST 2016 	30.57	54.01	7.15
Sat 8 Oct 01:19:16 CEST 2016 	30.356	54.45	7.14
Sat 8 Oct 01:34:51 CEST 2016 	31.041	54.37	7.18
Sat 8 Oct 01:50:27 CEST 2016 	30.958	54.35	7.04
Sat 8 Oct 02:06:02 CEST 2016 	29.212	54.14	7.08
Sat 8 Oct 02:21:37 CEST 2016 	30.584	54.56	7.16
Sat 8 Oct 02:37:13 CEST 2016 	29.238	54.39	7.12
Sat 8 Oct 02:52:49 CEST 2016 	30.74	54.24	7.18
Sat 8 Oct 03:08:26 CEST 2016 	28.653	53.71	7.00
Sat 8 Oct 03:24:01 CEST 2016 	29.375	54.40	7.16
Sat 8 Oct 03:39:36 CEST 2016 	31.06	54.43	7.06
Sat 8 Oct 03:55:11 CEST 2016 	31.547	54.47	5.47
Sat 8 Oct 04:10:48 CEST 2016 	30.872	53.80	7.12
Sat 8 Oct 04:26:24 CEST 2016 	32.361	53.87	7.12
Sat 8 Oct 04:41:59 CEST 2016 	31.032	54.60	7.07
Sat 8 Oct 04:57:35 CEST 2016 	32.446	54.74	7.12
Sat 8 Oct 05:13:11 CEST 2016 	31.503	54.29	7.04
Sat 8 Oct 05:28:45 CEST 2016 	29.51	54.41	7.13
Sat 8 Oct 05:44:21 CEST 2016 	30.54	54.55	7.17
Sat 8 Oct 05:59:56 CEST 2016 	29.225	53.66	7.05
Sat 8 Oct 06:15:31 CEST 2016 	29.163	54.42	7.05
Sat 8 Oct 06:31:05 CEST 2016 	31.783	54.21	7.03
Sat 8 Oct 06:46:40 CEST 2016 	30.65	54.26	7.12
Sat 8 Oct 07:02:15 CEST 2016 	30.04	54.60	7.08
Sat 8 Oct 07:17:49 CEST 2016 	28.931	54.45	7.12
Sat 8 Oct 07:33:24 CEST 2016 	28.357	54.15	7.00
Sat 8 Oct 07:48:59 CEST 2016 	29.305	54.12	5.55
Sat 8 Oct 08:04:36 CEST 2016 	31.386	54.45	7.04
Sat 8 Oct 08:20:10 CEST 2016 	28.672	52.85	7.08
Sat 8 Oct 08:35:45 CEST 2016 	29.827	54.68	7.12
Sat 8 Oct 08:51:20 CEST 2016 	31.576	54.35	7.16
Sat 8 Oct 09:06:58 CEST 2016 	29.667	54.25	7.14
Sat 8 Oct 09:22:33 CEST 2016 	28.614	54.03	7.09
Sat 8 Oct 09:38:09 CEST 2016 	32.108	54.52	7.08
Sat 8 Oct 09:53:44 CEST 2016 	29.109	54.21	7.11
Sat 8 Oct 10:09:19 CEST 2016 	31.148	54.08	7.16
Sat 8 Oct 10:24:55 CEST 2016 	30.033	54.63	7.03
Sat 8 Oct 10:40:29 CEST 2016 	30.27	54.11	7.13
Sat 8 Oct 10:56:04 CEST 2016 	27.845	54.05	6.00
Sat 8 Oct 11:11:41 CEST 2016 	29.556	54.47	7.15
Sat 8 Oct 11:27:16 CEST 2016 	30.148	54.09	5.74
Sat 8 Oct 11:42:54 CEST 2016 	30.445	54.07	7.06
Sat 8 Oct 11:58:29 CEST 2016 	30.484	54.41	7.09
Sat 8 Oct 12:14:03 CEST 2016 	32.168	54.15	7.09
Sat 8 Oct 12:29:39 CEST 2016 	30.847	54.05	7.13
Sat 8 Oct 12:45:14 CEST 2016 	30.186	54.28	6.97
Sat 8 Oct 13:00:49 CEST 2016 	29.132	54.31	7.06
Sat 8 Oct 13:16:24 CEST 2016 	29.12	54.13	7.21
Sat 8 Oct 13:32:00 CEST 2016 	30.168	51.68	7.08
Sat 8 Oct 13:47:36 CEST 2016 	29.346	53.94	6.90
Sat 8 Oct 14:03:11 CEST 2016 	30.426	54.48	6.98
Sat 8 Oct 14:18:46 CEST 2016 	31.582	54.02	7.07
Sat 8 Oct 14:34:21 CEST 2016 	28.005	54.42	7.03
Sat 8 Oct 14:49:55 CEST 2016 	30.635	54.69	6.30
Sat 8 Oct 15:05:31 CEST 2016 	28.413	54.59	6.97
Sat 8 Oct 15:21:06 CEST 2016 	30.481	54.33	7.04
Sat 8 Oct 15:36:40 CEST 2016 	30.651	54.48	7.14
Sat 8 Oct 15:52:15 CEST 2016 	31.927	54.17	7.14
Sat 8 Oct 16:07:50 CEST 2016 	30.151	54.54	7.01
Sat 8 Oct 16:23:24 CEST 2016 	30.471	54.70	7.15
Sat 8 Oct 16:38:59 CEST 2016 	31.036	54.17	6.96
Sat 8 Oct 16:54:34 CEST 2016 	30.011	53.66	6.99
Sat 8 Oct 17:10:09 CEST 2016 	29.697	54.15	7.05
Sat 8 Oct 17:25:44 CEST 2016 	30.256	52.59	7.06
Sat 8 Oct 17:41:20 CEST 2016 	30.811	53.55	7.07
Sat 8 Oct 17:56:55 CEST 2016 	31.782	44.60	7.06
Sat 8 Oct 18:12:27 CEST 2016 	31.981	54.56	7.10
Sat 8 Oct 18:28:02 CEST 2016 	31.047	53.87	7.05
Sat 8 Oct 18:43:37 CEST 2016 	31.466	54.20	7.01
Sat 8 Oct 18:59:12 CEST 2016 	26.648	54.01	7.08
Sat 8 Oct 19:14:48 CEST 2016 	31.125	52.16	7.03
Sat 8 Oct 19:30:25 CEST 2016 	29.063	54.23	6.99
Sat 8 Oct 19:45:59 CEST 2016 	29.617	53.89	7.01
Sat 8 Oct 20:01:34 CEST 2016 	29.819	54.12	7.01
Sat 8 Oct 20:17:08 CEST 2016 	31.374	51.81	7.02
Sat 8 Oct 20:32:44 CEST 2016 	30.194	53.17	6.95
Sat 8 Oct 20:48:19 CEST 2016 	29.04	54.39	6.85
Sat 8 Oct 21:03:58 CEST 2016 	30.311	54.00	7.04
Sat 8 Oct 21:19:33 CEST 2016 	32.385	51.66	7.15
Sat 8 Oct 21:35:10 CEST 2016 	31.069	52.94	6.93
Sat 8 Oct 21:50:46 CEST 2016 	29.083	52.59	7.12
Sat 8 Oct 22:06:22 CEST 2016 	30.758	52.95	7.17
Sat 8 Oct 22:21:58 CEST 2016 	30.21	49.66	6.84
Sat 8 Oct 22:37:35 CEST 2016 	28.868	54.45	7.13
Sat 8 Oct 22:53:10 CEST 2016 	29.375	53.34	7.07
Sat 8 Oct 23:08:47 CEST 2016 	26.333	53.35	6.99
Sat 8 Oct 23:24:22 CEST 2016 	27.047	46.71	7.05
Sat 8 Oct 23:40:01 CEST 2016 	26.883	51.81	7.02
Sat 8 Oct 23:55:36 CEST 2016 	32.409	54.11	6.93
Sun 9 Oct 00:11:11 CEST 2016 	29.94	54.29	5.70
Sun 9 Oct 00:26:48 CEST 2016 	30.348	47.42	6.95
Sun 9 Oct 00:42:25 CEST 2016 	31.454	54.10	6.99
Sun 9 Oct 00:58:00 CEST 2016 	32.333	54.39	7.05
Sun 9 Oct 01:13:36 CEST 2016 	32.159	54.56	7.07
Sun 9 Oct 01:29:11 CEST 2016 	31.55	54.01	7.11
Sun 9 Oct 01:44:46 CEST 2016 	32.018	54.43	7.09
Sun 9 Oct 02:00:22 CEST 2016 	30.973	54.53	6.97
Sun 9 Oct 02:15:56 CEST 2016 	30.855	54.11	7.13
Sun 9 Oct 02:31:32 CEST 2016 	31.11	54.04	7.08
Sun 9 Oct 02:47:08 CEST 2016 	30.83	54.31	7.05
Sun 9 Oct 03:02:42 CEST 2016 	31.357	54.49	7.21
Sun 9 Oct 03:18:18 CEST 2016 	29.93	54.34	7.12
Sun 9 Oct 03:33:53 CEST 2016 	30.922	54.43	7.12
Sun 9 Oct 03:49:28 CEST 2016 	31.271	54.48	5.57
Sun 9 Oct 04:05:04 CEST 2016 	29.068	54.06	7.06
Sun 9 Oct 04:20:39 CEST 2016 	32.988	54.15	4.94
Sun 9 Oct 04:36:14 CEST 2016 	30.901	54.49	7.13
Sun 9 Oct 04:51:49 CEST 2016 	29.367	54.26	7.00
Sun 9 Oct 05:07:24 CEST 2016 	29.588	54.26	7.05
Sun 9 Oct 05:22:58 CEST 2016 	28.671	54.58	7.11
Sun 9 Oct 05:38:33 CEST 2016 	30.444	54.45	7.01
Sun 9 Oct 05:54:07 CEST 2016 	30.323	54.49	6.97
Sun 9 Oct 06:09:43 CEST 2016 	30.623	54.52	5.70
Sun 9 Oct 06:25:19 CEST 2016 	28.949	54.49	7.05
Sun 9 Oct 06:40:54 CEST 2016 	30.212	54.37	7.22
Sun 9 Oct 06:56:31 CEST 2016 	31.497	54.79	7.11
Sun 9 Oct 07:12:06 CEST 2016 	30.575	54.72	7.04
